Name,Type,Address,Phone,Description,URL,Lng,Lat
White Lotus Vegetarian Restaurant,Restaurant,"185 Victoria Street, West Melbourne","",Everything at White Lotus is vegan and you won't be disappointed! They specialise in mock meats so it's a good place to help new vegans make the transition. The roast 'duck' and lemon 'chicken' are a must.  You'll enjoy a really tasty dinner in a casual and relaxed dining room. Take-away available. Everything under $20.,"",144.95546,-37.805984
Wild Yam Healthfoods & Cafe,Restaurant,"499 Main Street, Mordialloc","","Not just a cafe but also a health food shop as well specialises in vegan ice creams, pies, cheeses and meat alternatives. There is a lunch menu with the usual options and lots of vegan sweets to chose from.",www.wildyamhealthfoods.com,145.086853,-38.006584
Wholefoods Cafe/Restaurant,Restaurant,"1st floor, Union Building, Monash University, Clayton Campus, Wellington Road, Clayton.","","Mostly vegan, rotating menu changes daily with pastas, soups, salads and desserts. Great for poor students as everything is dirt cheap.","",145.134201,-37.910854
Riversdale Hairworks,Hair Dresser,"717 Riversdale Road, Middle Camberwell, 3124",(03) 9830 4035,"Riversdale Hairworks is a new salon with all of your hairdressing needs. Including cuts, colour, perms, straightening services etc. We use only De Lorenzo products, which are all vegan, plant-based, and made in Australia. All ingredients are also sourced in Australia.",http://www.facebook.com/RiversdaleHairworks,"",""
Savvy Organic Pizza & Gelato,Restaurant,"Shop 3, Belgrave Arcade, 1645 Burwood Highway, Belgrave, 3160",(03) 9754 6642,"Does serve meat, but plenty of vegan pizzas and vegan cheese available. Five vegan gelato/sorbets also.",http://www.savvyorganic.com.au/,"",""
Bed and Broccoli,Restaurant,"315 Marionvale Road, Katandra West, VIC 3634",(03) 5828 3498,"Victoria's first vegan bed and breakfast retreat, in beautiful Katandra West, just outside Shepparton, Victoria, in the heart of the Goulburn Valley.",http://www.bedandbroccoli.com.au/
Whole Lotta Love,Bar,"524 Lygon St, East Brunswick, 3057",,"Whole Lotta Love is the bar that'll fill the hole in your tequila soaked heart, paying tribute to the many kings of rock across the ages."
Fina's Vegetarian Cafe,Restaurant,"268 Victoria Street, Richmond, 3121",(03) 9428 6765,"Specialises in authentic vegetarian and vegan Vietnamese cuisine."
TOFWD,Restaurant,"28 Degraves St, Melbourne, 3000",(03) 9654 5157,"The organic food and fine deli, catering for vegan, wheat free, dairy free, and sugar free.",http://www.tofwd.com.au/
Feedme,Restaurant,"215 Carlisle Street, Balaclava, 3183",(03) 9527 4511,"Not a vegan restaurant, but they do a good make your own salad and the soup is often vegan too.",http://www.feedmee.com.au/
Feedme,Restaurant,"104 Chapel Street, Windsor, 3181",(03) 9525 2525,"Not a vegan restaurant, but they do a good make-your-own salad and the soup is often vegan too.",http://www.feedmee.com.au/
The Bear Cafe,Restaurant,"439 Brunswick Street, Fitzroy, 3065",0414 507 635,"Vegan cafe and specialised grocery with a good gluten free selection also.",https://www.facebook.com/pages/The-Bear-Cafe/411756705573879
Vincent Vegetarian,Shopping,"353 Barkly Street, Footscray, 3011",(03) 9325 1188,"Large range of mock meats and cheeses, vegan fish sauce, self-made dehydrated soy products, and other vegan foodstuffs.",http://www.vincentvegetarianfood.com/
Berrissimo,Restaurant,"Shop 2, 360 Brunswick Street, Fitzroy, VIC 3065","(03) 9041 2177","A frozen yoghurt store that offers a large range of vegan flavours and toppings.",http://berrissimo.com.au/
The Cornish Arms,"Restaurant","163 Sydney Rd, Brunswick, VIC 3056",(03) 9380 8383,"Great vegan menu of pub classics plus regular vegan specials. Not exclusively vegan though.",http://www.cornisharms.com.au/
La Panella Bakery,"Restaurant","465 High St, Preston, VIC 3072",(03) 9478 4443,"Bakery which serves a range of vegetarian and vegan foods including “meat” pies and “sausage” rolls, donuts, and more.",http://www.urbanspoon.com/r/71/1562164/restaurant/Melbourne/La-Panella-Bakery-Preston
Zambrero,"Restaurant","388 Lonsdale St, Melbourne, VIC 3000",(03) 9670 8040,"Offers a range of vegan-friendly Mexican food.",https://www.facebook.com/zambrerolonsdalestreet
The Australian Natural Soap Company,"Gift","1/325 Chapel St, Prahran, VIC 3181",1300 727 715,"Australia is blessed with some of the world’s best natural oils. The Australian Natural Soap Company use our own special soap making process to bring these incredible ingredients to your bathroom. Environmentally friendly and cruelty free.",http://www.theaustraliannaturalsoapcompany.com.au/
Madame K's Vegetarian,"Restaurant","367 Brunswick St, Fitzroy, VIC 3065",(03) 9415 6099,"Thai and Asian vegetarian restaurant. Don't miss the desserts!",http://www.madamek.com.au/
Down to Earth Tattoos,Beauty,"305 Keilor Rd, Essendon, VIC 3040",(03) 9379 9540,"Down to Earth Tattoos is proud to be one of the very few Vegan tattoo studios in the country.",http://www.downtoearthtattoos.com.au/,144.8958,-37.7390
Il Gobbo,Restaurant,"305 Keilor Rd, Essendon, VIC 3040",(03) 9379 9540,"All vegan burgers and hot-dogs.",https://www.facebook.com/ilgobbovegan,"144.8962","-37.7386"
